locatie_id,latitude,longitude,verkeersintensiteit,meet_richting,meetpaal_id
GEO0B_R_0_RWSTI360660,53.10906,5.39442,0.0,,GEO0B_R_0_RWSTI360660
GEO0B_R_0_RWSTI361244,53.03462,5.62092,0.0,,GEO0B_R_0_RWSTI361244
GEO0B_R_0_RWSTI361537,53.19115,5.74623,420.0,,GEO0B_R_0_RWSTI361537
GEO0B_R_0_RWSTI361603,52.96336,5.76927,300.0,,GEO0B_R_0_RWSTI361603
GEO0B_R_0_RWSTI362171,52.91019,5.99615,0.0,,GEO0B_R_0_RWSTI362171
GEO0B_R_0_RWSTI362372,53.14394,6.0423,120.0,,GEO0B_R_0_RWSTI362372
GEO0B_R_0_RWSTI362544,53.109175,6.129454,780.0,,GEO0B_R_0_RWSTI362544
GEO0B_R_1_RWSTI360660,53.10907,5.39429,900.0,,GEO0B_R_1_RWSTI360660
GEO0B_R_1_RWSTI361537,53.19115,5.74623,840.0,,GEO0B_R_1_RWSTI361537
GEO0B_R_1_RWSTI362372,53.144,6.04232,1500.0,,GEO0B_R_1_RWSTI362372
GEO0B_R_1_RWSTI362544,53.109218,6.129579,1320.0,,GEO0B_R_1_RWSTI362544
GEO0B_R_RWSTI300,52.943499,5.797698,1380.0,,GEO0B_R_RWSTI300
GEO0B_R_RWSTI301,52.946874,5.802647,1200.0,,GEO0B_R_RWSTI301
GEO0B_R_RWSTI302,52.942864,5.797481,660.0,,GEO0B_R_RWSTI302
GEO0B_R_RWSTI303,52.949464,5.797579,960.0,,GEO0B_R_RWSTI303
GEO0B_R_RWSTI304,52.946742,5.7984,720.0,,GEO0B_R_RWSTI304
GEO0B_R_RWSTI360731,53.09237,5.42463,840.0,,GEO0B_R_RWSTI360731
GEO0B_R_RWSTI360746,53.145342,5.413299,840.0,,GEO0B_R_RWSTI360746
GEO0B_R_RWSTI360852,53.171703,5.433592,300.0,,GEO0B_R_RWSTI360852
GEO0B_R_RWSTI360853,53.17197193,5.4335216,240.0,,GEO0B_R_RWSTI360853
GEO0B_R_RWSTI360878,53.08935,5.44016,540.0,,GEO0B_R_RWSTI360878
GEO0B_R_RWSTI360879,53.088353,5.445265,780.0,,GEO0B_R_RWSTI360879
GEO0B_R_RWSTI360880,53.17267,5.435142,540.0,,GEO0B_R_RWSTI360880
GEO0B_R_RWSTI360912,53.172406,5.435209,720.0,,GEO0B_R_RWSTI360912
GEO0B_R_RWSTI360913,53.17261261,5.43473463,780.0,,GEO0B_R_RWSTI360913
GEO0B_R_RWSTI360945,53.18489,5.46224,780.0,,GEO0B_R_RWSTI360945
GEO0B_R_RWSTI361010,53.06444,5.49891,840.0,,GEO0B_R_RWSTI361010
GEO0B_R_RWSTI361046,53.05786,5.52227,1020.0,,GEO0B_R_RWSTI361046
GEO0B_R_RWSTI361047,53.059,5.51177,780.0,,GEO0B_R_RWSTI361047
GEO0B_R_RWSTI361080,53.0547747,5.5406995,0.0,,GEO0B_R_RWSTI361080
GEO0B_R_RWSTI361081,53.05687,5.53079,240.0,,GEO0B_R_RWSTI361081
GEO0B_R_RWSTI361082,53.05595,5.53361,360.0,,GEO0B_R_RWSTI361082
GEO0B_R_RWSTI361083,53.199674,5.539909,480.0,,GEO0B_R_RWSTI361083
GEO0B_R_RWSTI361088,53.055585,5.538711,600.0,,GEO0B_R_RWSTI361088
GEO0B_R_RWSTI361089,53.20091,5.54717,480.0,,GEO0B_R_RWSTI361089
GEO0B_R_RWSTI361090,53.201947,5.54387,420.0,,GEO0B_R_RWSTI361090
GEO0B_R_RWSTI361104,53.201296,5.547076,660.0,,GEO0B_R_RWSTI361104
GEO0B_R_RWSTI361162,53.04877,5.56722,240.0,,GEO0B_R_RWSTI361162
GEO0B_R_RWSTI361189,53.047254,5.575374,300.0,,GEO0B_R_RWSTI361189
GEO0B_R_RWSTI361243,53.041169,5.610402,1380.0,,GEO0B_R_RWSTI361243
GEO0B_R_RWSTI361280,53.20057,5.64473,180.0,,GEO0B_R_RWSTI361280
GEO0B_R_RWSTI361284,53.2011,5.64606,180.0,,GEO0B_R_RWSTI361284
GEO0B_R_RWSTI361303,53.02225,5.651411,540.0,,GEO0B_R_RWSTI361303
GEO0B_R_RWSTI361304,53.02244,5.652516,720.0,,GEO0B_R_RWSTI361304
GEO0B_R_RWSTI361305,53.20192,5.6609,600.0,,GEO0B_R_RWSTI361305
GEO0B_R_RWSTI361323,53.021279,5.662876,360.0,,GEO0B_R_RWSTI361323
GEO0B_R_RWSTI361324,53.021932,5.658353,600.0,,GEO0B_R_RWSTI361324
GEO0B_R_RWSTI361325,53.022285,5.658222,900.0,,GEO0B_R_RWSTI361325
GEO0B_R_RWSTI361329,53.20214,5.65788,480.0,,GEO0B_R_RWSTI361329
GEO0B_R_RWSTI361336,53.022017,5.665049,420.0,,GEO0B_R_RWSTI361336
GEO0B_R_RWSTI361337,53.02199,5.66793,1380.0,,GEO0B_R_RWSTI361337
GEO0B_R_RWSTI361348,53.02128,5.678223,1140.0,,GEO0B_R_RWSTI361348
GEO0B_R_RWSTI361349,53.021592,5.674835,900.0,,GEO0B_R_RWSTI361349
GEO0B_R_RWSTI361350,53.021343,5.678374,1020.0,,GEO0B_R_RWSTI361350
GEO0B_R_RWSTI361360,52.98951,5.71964,1020.0,,GEO0B_R_RWSTI361360
GEO0B_R_RWSTI361387,53.20692,5.72082,1080.0,,GEO0B_R_RWSTI361387
GEO0B_R_RWSTI361409,53.004344,5.697355,1020.0,,GEO0B_R_RWSTI361409
GEO0B_R_RWSTI361410,53.20704,5.7238,1140.0,,GEO0B_R_RWSTI361410
GEO0B_R_RWSTI361450,52.85182,5.72161,0.0,,GEO0B_R_RWSTI361450
GEO0B_R_RWSTI361455,52.861838,5.73087,1260.0,,GEO0B_R_RWSTI361455
GEO0B_R_RWSTI361474,52.97128,5.75986,960.0,,GEO0B_R_RWSTI361474
GEO0B_R_RWSTI361548,52.965498,5.766985,960.0,,GEO0B_R_RWSTI361548
GEO0B_R_RWSTI361549,52.96377,5.76836,900.0,,GEO0B_R_RWSTI361549
GEO0B_R_RWSTI361674,53.17287,5.75737,1320.0,,GEO0B_R_RWSTI361674
GEO0B_R_RWSTI361705,53.18911,5.74658,1080.0,,GEO0B_R_RWSTI361705
GEO0B_R_RWSTI361706,53.20697,5.73522,1320.0,,GEO0B_R_RWSTI361706
GEO0B_R_RWSTI361735,53.160964,5.802856,900.0,,GEO0B_R_RWSTI361735
GEO0B_R_RWSTI361816,52.95912,5.84721,1500.0,,GEO0B_R_RWSTI361816
GEO0B_R_RWSTI361831,53.169983,5.844666,1200.0,,GEO0B_R_RWSTI361831
GEO0B_R_RWSTI361832,53.168018,5.833655,900.0,,GEO0B_R_RWSTI361832
GEO0B_R_RWSTI361848,52.95987347,5.85166152,1800.0,,GEO0B_R_RWSTI361848
GEO0B_R_RWSTI361985,52.972522,5.909906,1440.0,,GEO0B_R_RWSTI361985
GEO0B_R_RWSTI362155,52.93155,5.96004,360.0,,GEO0B_R_RWSTI362155
GEO0B_R_RWSTI362156,52.93234,5.96135,480.0,,GEO0B_R_RWSTI362156
GEO0B_R_RWSTI362204,52.91436,5.98481,1320.0,,GEO0B_R_RWSTI362204
GEO0B_R_RWSTI362238,52.89307,6.01853,1140.0,,GEO0B_R_RWSTI362238
GEO0B_R_RWSTI362297,53.145275,6.01809,1080.0,,GEO0B_R_RWSTI362297
GEO0B_R_RWSTI362298,53.145495,6.018395,1080.0,,GEO0B_R_RWSTI362298
GEO0B_R_RWSTI362320,52.88084,6.0253,840.0,,GEO0B_R_RWSTI362320
GEO0B_R_RWSTI362327,52.88066,6.02489,960.0,,GEO0B_R_RWSTI362327
GEO0B_R_RWSTI362373,53.145778,6.029836,1080.0,,GEO0B_R_RWSTI362373
GEO0B_R_RWSTI362416,53.140812,6.064643,1500.0,,GEO0B_R_RWSTI362416
GEO0B_R_RWSTI362470,53.136243,6.083277,1380.0,,GEO0B_R_RWSTI362470
GEO0B_R_RWSTI362534,53.109828,6.127358,420.0,,GEO0B_R_RWSTI362534
GEO0B_R_RWSTI362543,53.108945,6.13037,1140.0,,GEO0B_R_RWSTI362543
GEO0B_R_RWSTI362547,53.110216,6.128208,1140.0,,GEO0B_R_RWSTI362547
GEO0B_R_RWSTI362548,53.1103112,6.129889,480.0,,GEO0B_R_RWSTI362548
GEO0B_R_RWSTI362568,53.11958,6.16131,1860.0,,GEO0B_R_RWSTI362568
GEO0B_R_RWSTI363627,53.206669,5.735463,840.0,,GEO0B_R_RWSTI363627
GEO0B_R_RWSTI363628,53.20725,5.72493,1140.0,,GEO0B_R_RWSTI363628
GEO0B_R_RWSTI363639,53.206389,5.737576,0.0,,GEO0B_R_RWSTI363639
GEO0B_R_RWSTI363645,53.198691,5.745533,1500.0,,GEO0B_R_RWSTI363645
GEO0B_R_RWSTI363652,53.1896,5.74671,1140.0,,GEO0B_R_RWSTI363652
GEO0B_TIID_1255,52.85941,5.72797,1920.0,,GEO0B_TIID_1255
GEO0B_TIID_1258,53.0579,5.5236,960.0,,GEO0B_TIID_1258
GEO0B_TIID_1269,53.07168,5.48813,900.0,,GEO0B_TIID_1269
GEO0B_TIID_613,52.84464,5.7239,1500.0,,GEO0B_TIID_613
GEO0B_TIID_625,53.03388,5.621802,1020.0,,GEO0B_TIID_625
GEO0B_TIID_664,53.031728,5.623259,840.0,,GEO0B_TIID_664
GEO0B_TIID_745,53.076109,5.478885,780.0,,GEO0B_TIID_745
GEO0B_TIID_8296,53.171734,5.433418,720.0,,GEO0B_TIID_8296
GEO0B_TIID_848,53.164217,5.934977,1140.0,,GEO0B_TIID_848
GEO0B_TIID_855,53.134491,6.090073,840.0,,GEO0B_TIID_855
GEO0B_TIID_857,53.134385,6.090938,540.0,,GEO0B_TIID_857
GEO0B_TIID_872,53.156564,5.963342,1020.0,,GEO0B_TIID_872
